text,metadata
"Title: 
Zero. Zero is reasonable. That's what Schwab offers with a low minimum to open the IRA.  The fact is, you'll have expenses for the investments, whether a commission on stock purchase or ongoing expense of a fund or ETF. But, in my opinion, .25% is criminal. An S&P fund or ETF will have a sub-.10% expense. To spend .25% before any other fees are added is just wrong.",{'doc_id': '30417'}
"Title: 
If you have non-salary income, you might be required to file 1040ES estimated tax for the next year on a quarterly basis. You can instead pay some or all in advance from your previous year's refund. In theory, you lose the interest you might have made by holding that money for a few months. In practice it might be worth it to avoid needing to send forms and checks every quarter. For instance if you had a $1000 estimated tax requirement and the alternative was to get 1% taxable savings account interest for six months, you'd make about $3 from holding it for the year. I would choose to just pay in advance. If you had a very large estimation, or you could pay off a high-rate debt and get a different effective rate of return, the tradeoff may be different.",{'doc_id': '31483'}
"Title: 
Those folks should be introduced to some real estate folks I know, they'd get along famously, being as how they still think it's 2007. The amount of housing out there requires that a large market of consumers is available to purchase them. If housing prices rose infinitely ahead of salaries, the market for potential buyers would continue to shrink until supply would outstrip demand. And then we have the wonderful housing bubble like the one that we just went through (or in some places like China, have the potential to go through). Short version: It violates the relationship between supply and demand.",{'doc_id': '31663'}
"Title: 
""No. A deposit to an IRA must be in cash. A conversion from traditional IRA to Roth can be """"in kind"""" i.e. As a stock transfer. Last, any withdrawals can also be in stock or funds.  IRS Publication 590, so important, it's now in 2 sections Part A and Part B, addresses IRA issues such as this as well as most others.  By the way - now on page 7 - """"Contributions, except for rollover contributions, must be in cash.""""""",{'doc_id': '32811'}
"Title: 
It is a bad deal.  It saves the government from processing your refund as a check or an ACH deposit, and lets them keep your money -- money that they overwithheld! -- interest-free for another year. Get it back. :)",{'doc_id': '34913'}
"Title: 
""Old question I know, but I have some thoughts to share. Your title and question say two different things.  """"Better off"""" should mean maximizing your ex-ante utility.  Most of your question seems to describe maximizing your expected return, as do the simulation exercises here.  Those are two different things because risk is implicitly ignored by what you call """"the pure mathematical answer.""""  The expected return on your investments needs to exceed the cost of your debt because interest you pay is risk-free while your investments are risky. To solve this problem, consider the portfolio problem where paying down debt is the risk-free asset and consider the set of optimal solutions.  You will get a capital allocation line between the solution where you put everything into paying down debt and the optimal/tangent portfolio from the set of risky assets.   In order to determine where on that line someone is, you must know their utility function and risk parameters.  You also must know the parameters of the investable universe, which we don't.""",{'doc_id': '39819'}
"Title: 
Yes, if there is liquidity you can sell your option to someone else as a profit. This is what the majority of option trading volume is used for: speculative trading with leverage.",{'doc_id': '40702'}
"Title: 
You must mean the current debt ceiling debacle. The meaning of it is: US government is constantly borrowing money (by issuing treasury bonds) and constantly repaying some of the bonds that come to maturity, and also has other obligations it has to meet by law all the time - such as Social Security checks, bonds interest, federal employees' salaries and pensions, etc. By law, total amount of money that can be borrowed at the same time is capped. That means, there can be situation where the government needs to borrow money to pay, say, interest on existing bonds, but can not, since the limit is reached. Such situation is called a default, since the government promised to pay the interest, but is unable to do so. That does not mean the government has no money at all and will completely collapse or couldn't raise money on the market if it were permitted by law to do so (currently, the market is completely willing to buy the debt issued by US government, and with interest that is not very high, though of course that may change). It also does not mean the economy ceases to function, dollars cease to have value or banks instantly go bankrupt. But if the government breaks its promises to investors, it has various consequences such as raising the costs of borrowing in the future. Breaking promises to other people - like Social Security recipients - would also look bad and probably hurt many of them. Going back to your bank account, most probably nothing would happen to the money you store there. Even if the bank had invested 100% of the money in US treasury bonds (which doesn't really happen) they still can be sold on the open market, even if with some discount in the event of credit rating downgrade, so most probably your account would not be affected. As stated in another answer, even if the fallout of all these calamities causes a bank to fail, there's FDIC and if your money is under insured maximums you'll be getting your money back. But if your bank is one of the big ones, nothing of the sort would happen anyway - as we have seen in the past years, government would do practically anything to not allow any big bank failures.",{'doc_id': '41312'}
"Title: 
""If you sell a stock, with no distributions, then your gain is taxable under §1001.  But not all realized gains will be recognized as taxable.  And some gains which are arguably not realized, will be recognized as taxable. The stock is usually a capital asset for investors, who will generate capital gains under §1(h), but dealers, traders, and hedgers will get different treatment.  If you are an investor, and you held the stock for a year or more, then you can get the beneficial capital gain rates (e.g. 20% instead of 39.6%).  If the asset was held short-term, less than a year, then your tax will generally be calculated at the higher ordinary income rates.  There is also the problem of the net investment tax under §1411.  I am eliding many exceptions, qualifications, and permutations of these rules. If you receive a §316 dividend from a stock, then that is §61 income.  Qualified dividends are ordinary income but will generally be taxed at capital gains rates under §1(h)(11).  Distributions in redemption of your stock are usually treated as sales of stock.  Non-dividend distributions (that are not redemptions) will reduce your basis in the stock to zero (no tax due) and past zero will be treated as gain from a sale. If you exchange stock in a tax-free reorganization (i.e. contribute your company stock in exchange for an acquirer's stock), you have what would normally be considered a realized gain on the exchange, but the differential will not be recognized, if done correctly. If you hold your shares and never sell them, but you engage in other dealings (short sales, options, collars, wash sales, etc.) that impact those shares, then you can sometimes be deemed to have recognized gain on shares that were never sold or exchanged. A more fundamental principle of income tax design is that not all realized gains will be recognized.  IRC §1001(c) says that all realized gains are recognized, except as otherwise provided; that """"otherwise"""" is substantial and far-ranging.""",{'doc_id': '42521'}
"Title: 
By placing the property in her name, her share of it would also be considered an asset of hers should she ever be sued. If she gets married and later divorced, depending on if Michigan is a community property state or not (and a lot of other things), her ex might get 50% of her stake in the property.",{'doc_id': '44344'}
"Title: 
""Eventually, you'll end up buying a stock at or near a high-water mark.  You might end up waiting a few years before you see your """"guaranteed"""" $100 profit, and you now have $5K to $10K tied up in the wait.  The more frequently you trade, the faster your money gets trapped. There are two ways to avoid this problem: 1) Do it during strong bull markets.    If everything keeps going up you don't need to worry about peaks...but then why would you keep cashing out for $1 gains? 2) Accurately predict the peaks.    If you can see the future, why would you keep cashing out for $1 gains? Either way, this strategy will only make your broker happy, $8 at a time.""",{'doc_id': '45185'}
"Title: 
""If you file the long-form Form 2210 in which you have to figure out  exactly how much you should have had withheld (or paid via quarterly payments of estimated tax), you might be able to reduce the underpayment penalty somewhat, or possibly eliminate it entirely.  This often happens because some of your income comes late in the year (e.g. dividend and capital gain distributions from stock mutual funds) and possibly because some of your itemized deductions come early (e.g. real estate tax bills due April 1, charitable deductions early in the year because of New Year resolutions to be more philanthropic) etc.  It takes a fair amount of effort to gather up the information you need for this (money management programs help), and it is easy to make mistakes while filling out the form. I strongly recommend use of a """"deluxe"""" or """"premier"""" version of a tax program - basic versions might not include Form 2210 or have only the short version of it. I also seem to remember something to the effect that the long form 2210 must be filed with the tax return and cannot be filed as part of an amended return, and if so, the above advice would be applicable to future years only. But you might be able to fill out the form and appeal to the IRS that you owe a reduced  penalty, or don't owe a penalty at all, and that your only mistake was not filing the long form 2210 with your tax return and so please can you be forgiven this once? In any case, I strongly recommend paying the underpayment   penalty ASAP because it is increasing day by day due to   interest being charged.  If the IRS agrees to your eloquent   appeal, they will refund the overpayment.""",{'doc_id': '46737'}
"Title: 
No.  Revenue is the company's gross income.  The stock price has no contribution to the company's income.  The stock price may be affected when the company's income deviates from what it was expected to be.",{'doc_id': '52579'}
"Title: 
A matching pension scheme is like free money. No wait, it actually IS free money. You are literally earning 100% interest rate on that money the instant you pay it in to the account. That money would have to sit in your credit card account for at least five years to earn that kind of return; five years in which the pension money would have earned an additional return over and above the 100%. Mathematically there is no contest that contributing to a matching pension scheme is one of the best investment there is. You should always do it. Well, almost always. When should you not do it?",{'doc_id': '53544'}
"Title: 
I wouldn't advocate it, but one reason to pay a lower interest rate is if you have $990 on a $1000 limit credit card with 6% interest and $5000 on a $15k limit card at 10% interest. Having $500 to pay in a month and putting it on the lower interest would free up a greater percentage of credit on that card and could potentially help your credit rating I believe. I think having $1000 on 10 different credit cards w/ $15k limit reflects better than $10k on one $15k card, regardless of interest rates. Personally I think that's dumb b/c having the extra credit available is an opportunity to get into trouble a lot easier.",{'doc_id': '55084'}
"Title: 
The traditional role of a stockbroker is to arrange for the buying and selling of stock by finding buyers and sellers at an agreed upon price.  The broker does not purchase the stock for himself but merely arranges for the stock to be traded. A trader is one who purchases stock with the hope of selling it for a gain.  The trader will use a broker to help with the purchase and sale of a stock.",{'doc_id': '57711'}
"Title: 
This does not really fit your liquidity requirement but consider buying a one or two room apartment to rent out with part of your savings. You will get income from it and small apartments sell quickly if you do need the money. This will help offset the negative interest from the rest. One downside is that other people have the same idea at the moment and the real estate prices are inflated somewhat.",{'doc_id': '61586'}
"Title: 
""I think the idea here is that because of the way mortgages are amortized, you can drop additional principal payments in the early years of the mortgage and significantly lower the overall interest expense over the life of the loan. A HELOC accrues interest like a credit card, so if you make a large principal payment using a HELOC, you will be able to retire those """"chunks"""" of debt quicker than if you made normal mortgage payments. I haven't worked out the numbers, but I suspect that you could achieve similar results by simply paying ahead -- making even one extra payment per year will take 7-9 years off of a 30 year loan. I think that the advantage of the HELOC approach is that if you borrow enough, you may be able to recalculate/lower the payment of the mortgage.""",{'doc_id': '62868'}
"Title: 
It's difficult to quantify the intangible benefits, so I would recommend that you begin by quantifying the financials and then determine whether the difference between the pay of the two jobs justifies the value of the intangible benefits to you. Some Explainations You are making $55,000 per year, but your employer is also paying for a number of benefits that do not come free as a contractor.  Begin by writing down everything they are providing you that you would like to continue to have.  This may include: You also need to account for the FICA tax that you need to pay completely as a part time employee (normally a company pays half of it for you).  This usually amounts to 7.8% of your income. Quantification Start by researching the cost for providing each item in the list above to yourself.  For health insurance get quotes from providers.  For bonuses average your yearly bonuses for your work history with the company.  Items like stock options you need to make your best guess on. Calculations Now lets call your original salary S.  Add up all of the costs of the list items mentioned above and call them B.  This formula will tell you your real current annual compensation (RAC): Now you want to break your part time job into hours per year, not hours per month, as months have differing numbers of working days.  Assuming no vacations that is 52 weeks per year multiplied by 20 hours, or 1040 hours (780 if working 15 hours per week).  So to earn the same at the new job as the old you would need to earn an hourly wage of: The full equation for 20 hours per week works out to be: Assumptions DO NOT TAKE THIS SECTION AS REPRESENTATIVE OF YOUR SITUATION; ONLY A BALLPARK ESTIMATE You must do the math yourself.  I recommend a little spreadsheet to simplify things and play what-if scenarios.  However, we can ballpark your situation and show how the math works with a few assumptions. When I got quoted for health insurance for myself and my partner it was $700 per month, or $8400 per year.  If we assume the same for you, then add 3% 401k matching that we'll assume you're taking advantage of ($1650), the equation becomes: Other Considerations Keep in mind that there are other considerations that could offset these calculations.  Variable hours are a big risk, as is your status as a 'temporary' employee.  Though on the flip side you don't need to pay taxes out of each check, allowing you to invest that money throughout the year until taxes are due.  Also, if you are considered a private contractor you can write off many expenses that you cannot as a full time employee.",{'doc_id': '62882'}
"Title: 
""If the balance on the low rate loan is very high (say, an IBR student loan at 6% that accumulates interest every year), and the balance on the high rate loan (say, a CC at 18%) is comparatively very small, then you'd want to make sure that you've at least """"stopped the bleeding"""" on the high balance loan before starting to pay off the CC.""",{'doc_id': '63501'}
"Title: 
This is a slightly different reason to any other answer I have seen here about irrationality and how being rationally aware of one's irrationality (in the future or in different circumstances) can lead you to make decisions which on the face of it seem wrong. First of all, why do people sometimes maintain balances on high-interest debt when they have savings? Standard advice on many money-management sites and forums is to withdraw the savings to pay down the debt. However, I think there is a problem with this. Suppose you have $5,000 in a savings account, and a $2,000 credit card balance. You are paying more interest on the credit card than you get from the savings account, and it seems that you should withdraw some money from the savings account, and pay off the cc. However, the difference between the two scenarios, other than the interest you lose by keeping the cc balance, is your motivation for saving. If you have a credit card balance of $2,000, you might be obliged to pay a minimum payment of $100 each month. If you have any extra money, you will be rewarded if you pay more in to the credit card, by seeing the balance go down and understanding that you will soon be free from receiving this awful bill each month. To maintain your savings goal, it's enough to agree with yourself that you won't do any new spending on the cc, or withdraw any savings.  Now suppose that you decide to pay off the cc with the savings. There is now nothing 'forcing' you to save $100 each month. When you get to the end of the month, you have to motivate yourself that you will be adding spare cash to your $3,000 savings balance, rather than that you 'have to' pay down your cc. Yes, if you spend the spare cash instead of saving it, you get something in return for it. But it is possible that spending $140 on small-scale discretionary spending (things you don't need) actually gets you less for your money than paying the credit card company $40 interest and saving $100? You might even be tempted to start spending on your credit card again, knowing that you have a 0 balance, and that you 'can always pay it off out of savings'. It's easy to analogize this to a situation with two types of debt. Suppose that you have a $2,000 debt to your parents with no interest and a $2,000 loan at high interest, and you get a $2,000 windfall. Let's assume that your parents don't need the money in a hurry and aren't hassling you to pay them (otherwise you could consider the guilt or the hassle as a form of emotional interest rate). Might it not be better to pay your parents off? If you do, you are likely to keep paying off your loan out of necessity of making the regular payments. In 20 paychecks (or whatever) you might be debt free. If you pay off your loan, you lose the incentive to save. After 20 months you still owe your parents $2,000. I am not saying that this is always what makes sense. Just that it could make sense. Note that this is an opposite to the 'Debt Snowball' method. That method says that it's better to pay off small debts, because that way you have more free cash flow to pay off the larger debts. The above argues that this is a bad idea, because you might spend the increased cash flow on junk. It would be better to keep around as many things as possible which have minimum payments, because it restricts you to paying things rather than gives you the choice of whether to save or spend.",{'doc_id': '63690'}
"Title: 
If you're a sole proprietor there's no reason to have a separate business account, as long as you keep adequate records, as you are one and the same for tax purposes. My husband and I already have 5 accounts and a mortgage with one bank. I don't see the need to open up yet another account.  As a contracted accountant, I don't need to write business checks, and my expenses are minimal. As long as I have an present my assumed business name certificate and ID, there's no reason for a bank not to deposit into my personal account.",{'doc_id': '64556'}
"Title: 
The check is just barely over 6 months old. I suspect it will go through with no issues.",{'doc_id': '66058'}
"Title: 
""You didn't win in case B. Borrowing shares and then selling them is known as """"selling short"""".  You received $2000 when you sold short 100 shares at $20.  You spent $1000 to buy them back at $10, so you come out $1000 ahead on that deal.  But at the same time, the 100 shares you already owned have declined in value from $20 to $10, so you are down $1000 on that deal.  So you've simply broken even, and you are still out the interest and transaction fees. In effect, a short sale allows you to sell shares you don't own.  But if you do already own them, then the effect is the same as if you just sold your own shares.  This makes it easier to see that this is just a complicated and expensive way of accomplishing nothing at all.""",{'doc_id': '67107'}
"Title: 
""Nobel laureate economist, Paul Krugman, wrote a piece many moons ago about economic expansion and money supply.  As an illustration of how money supply affects the economy, he used the example of a baby-sitting co-op.  While simplistic, it provides an easy to grasp notion of how printing money and restricting it (e.g. by pegging the currency to gold reserves) can affect the economy. Here is an excerpt from his webpage ( http://web.mit.edu/krugman/www/howfast.html ): """"With the decline of the traditional extended family, in which relatives were available to take care of children at need, many parents in the United States have sought alternative arrangements. A popular scheme is the baby-sitting coop, in which a group of parents agree to help each other out on a reciprocal basis, with each parent serving both as baby-sitter and baby-sittee. Any such coop requires rules that ensure that all members do their fair share. One natural answer, at least to people accustomed to a market economy, is to use some kind of token or marker system: parents """"earn"""" tokens by babysitting, then in turn hand over these tokens when their own children are minded by others. For example, a recently formed coop in Western Massachusetts uses Popsicle sticks, each representing one hour of babysitting. When a new parent enters the coop, he or she receives an initial allocation of ten sticks.  This system is self-regulating, in the sense that it automatically ensures that over any length of time a parent will put in more or less the same amount of time that he or she receives. It turns out, however, that establishing such a token system is not enough to make a coop work properly. It is also necessary to get the number of tokens per member more or less right. To see why, suppose that there were very few tokens in circulation. Parents will want on average to hold some reserve of tokens - enough to deal with the possibility that they may want to go out a few times before they have a chance to babysit themselves and earn more tokens. Any individual parent can, of course, try to accumulate more tokens by babysitting more and going out less. But what happens if almost everyone is trying to accumulate tokens - as they will be if there are very few in circulation? One parent's decision to go out is another's opportunity to babysit. So if everyone in the coop is trying to add to his or her reserve of tokens, there will be very few opportunities to babysit. This in turn will make people even more reluctant to go out, and use up their precious token reserves; and the level of activity in the coop may decline to a disappointingly low level.  The solution to this problem is, of course, simply to issue more Popsicle sticks. But not too many - because an excess of popsicle sticks can pose an equally severe problem. Suppose that almost everyone in the coop has more sticks than they need; then they will be eager to go out, but reluctant to babysit. It will therefore become hard to find babysitters - and since opportunities to use popsicle sticks will become rare, people will become even less willing to spend time and effort earning them. Too many tokens in circulation, then, can be just as destructive as too few."""" -- Paul Krugman, 1997 (accessed webpage 2010).""",{'doc_id': '67676'}
"Title: 
Borrowing Wikipedia for a bit, it seems like the intrinsic uses are these. I've ordered these approximately in technology-level order: The importance of any of these uses largely depends on the state of a civilization and the level of technology of that civilization. However, most of these applications have far cheaper substitutes available.",{'doc_id': '69485'}
"Title: 
If your refund is so small (like $20 - $25), and it's not worth receiving, it can be put towards next years just to give you a slight edge.",{'doc_id': '71898'}
"Title: 
One of many things to consider is that in the United States student loan interest is tax deductible. That fact could change the math enough to make it worth putting A's money elsewhere depending on his interest rate and income bracket.",{'doc_id': '73310'}
"Title: 
Funds earned and spent before opening a dedicated business account should be classified according to their origination. For example, if your business received income, where did that money go?  If you took the money personally, it would be considered either a 'distribution' or a 'loan' to you.  It is up to you which of the two options you choose. On the flip side, if your business had an expense that you paid personally, that would be considered either a 'contribution of capital' or a 'loan' from you. If you choose to record these transactions as loans, you can offset them together, so you don't need two separate accounts, loan to you and loan from you. When the bank account was opened, the initial deposit came from where?  If it came from your personal funds, then it is either a 'contribution of capital' or a 'loan' from you. From the sound of your question, you deposited what remained after the preceding income/expenses.  This would, in effect, return the 'loan' account back to zero, if choosing that route. The above would also be how to record any expenses you may pay personally for the business (if any) in the future. Because these transactions were not through a dedicated business bank account, you can't record them in Quickbooks as checks and deposits.  Instead, you can use Journal Entries.  For any income received, you would debit your capital/loan account and credit your income account.  For any expenses, you would debit the appropriate expense account and credit your distribution/loan account. Also, if setting up a loan account, you should choose either Current Asset or Current Liability type.  The capital contribution and distribution account should be Equity type. Hope this helps!",{'doc_id': '73427'}
"Title: 
""The VDE fund is an energy fund so this is a function of recent price changes in oil (and gas, coal, &c).   For example. Lets say last year when oil was $100 per barrel a bunch of companies saw a good return and put $ 100 million into a bunch of leases, boreholes, pumps, &c to return $10 million per year, and the market says yeah, they're all together worth 100M. Now oil is less, maybe $40 per the link.  These exploration companies don't have a lot of labor or variable costs; they are operationally profitable, may have """"use it or lose it"""" leases or minimum pumping requirements for contract or engineering reasons.  Lets say the cash flow is 7M so the market values them at 70M.  They still have about 100M book value so here we are at .7 and I believe the scenario in the question.  Nobody would invest in new capacity at this oil price.  The well equipment could be repurposed but not the borehole or lease, so the best use is to continue pumping and value it on cash flow.  If an individual well runs negative long enough and goes bust, either a different pumper will pay the minimum price that gives profitable cash flow, or that borehole that cost millions to dig is shut off and rendered valueless.  The CNBC article says some explorers are playing games with debt to maintain yield, so there is that too. In the ETF, your bet is that the market is wrong and oil will go up, increasing future cash flows (or you like the current yield, taking on the risk that some of these oil explorers could go bust).""",{'doc_id': '74615'}
"Title: 
As someone in the very same position as you here is what I suggest: Have $1,000 for each possible large expense you currently have. For example, house, car, pregnant wife, etc. As someone who only has a car (living at home still) I only have $1,000 in my eFund (emergency fund). The ABSOLUTE rest of my money goes to paying off the loans as soon as possible. I mean ever single dollar. There is no point for investing unless you have a really good return on investment. I am not too sure how common returns of 6.8% are, but that seems above average. If in fact you're just stashing it in a bank account at ~1%, you're doing it wrong.  Getting out of debt is not only just about the financial benefits but the emotional benefits too. It feels really nice to not owe anybody anything.  Good luck man!    P.S. Try using a tracker like ReadytoZero to show how much you're losing a day by remaining in debt. This will better help you understand if your investments are making you money or losing your money.",{'doc_id': '76414'}
